Country or Administrative area,Area [km2],Coast length [km],Rainfall [mm year -1],Factor L/A [-],Factor (L/A) *P [-],P[E] [%],MPW (metric tons year -1),M[E] (metric tons year -1),Ratio Me/MPW
Albania,28'486,362,1'117,0.01,14.0,1.56%,69'833,1'565,2.24%
Algeria,2'316'559,998,80,0.0004,0.0,0.09%,764'578,5'774,0.76%
Angola,1'247'357,1'600,1'025,0.001,1.0,0.09%,236'946,860,0.36%
Antigua and Barbuda,443,153,996,0.3,344.0,3.08%,627,2,0.29%
Argentina,2'779'705,4'989,567,0.002,1.0,0.26%,465'808,4'137,0.89%
Australia,7'687'219,25'760,480,0.003,2.0,0.18%,5'266,32,0.60%
Bahamas,13'336,3'542,1'006,0.3,267.0,2.04%,2'212,20,0.92%
Bahrain,673,161,73,0.2,17.0,0.00%,1'043,0,0.00%
Bangladesh,136'478,2'320,2'249,0.02,38.0,2.32%,1'021'990,24'640,2.41%
Barbados,439,97,1'512,0.2,334.0,4.35%,872,45,5.14%
Belgium,30'671,67,844,0.002,2.0,0.71%,2'284,34,1.48%
Belize,22'217,386,2'003,0.02,35.0,3.54%,6'021,374,6.22%
Benin,115'542,121,1'035,0.001,1.0,0.14%,133'335,1'639,1.23%
Bosnia and Herzegovina,50'993,20,1'031,0.0004,0.0,0.95%,55'551,6,0.01%
Brazil,8'484'839,7'491,1'746,0.0009,2.0,0.24%,3'296'700,37'799,1.15%
Brunei,5'880,161,3'392,0.03,93.0,10.22%,692,134,19.36%
Bulgaria,111'300,354,590,0.003,2.0,0.13%,3'117,7,0.22%
Burkina Faso,273'367,354,752,0.001,1.0,0.00%,317'298,0,0.00%
Myanmar,667'871,1'930,2'015,0.003,6.0,0.36%,434'432,2'544,0.59%
Cambodia,181'380,443,1'787,0.002,4.0,0.63%,247'495,1'113,0.45%
Cameroon,466'295,402,1'612,0.0009,1.0,0.45%,578'798,10'671,1.84%
Canada,9'924'777,202'080,468,0.02,10.0,0.55%,23'587,238,1.01%
Cape Verde,4'058,965,204,0.2,49.0,0.00%,3'568,0,0.00%
Chile,754'237,6'435,957,0.009,8.0,2.58%,30'767,322,1.05%
China,9'373'898,14'500,561,0.002,1.0,0.19%,12'272'200,70'707,0.58%
Colombia ,1'137'921,3'208,2'632,0.003,7.0,0.62%,85'454,431,0.50%
Comoros ,1'671,340,1'993,0.2,405.0,0.00%,59'158,0,0.00%
Congo,341'574,169,1'644,0.0005,1.0,0.08%,65'291,676,1.04%
Congo (Democratic Republic of the),2'327'986,37,1'575,2e-05,0.0,0.01%,1'369'730,420,0.03%
Costa Rica ,51'222,1'290,2'856,0.03,72.0,6.25%,5'751,450,7.82%
